job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Car Mechanic,Speech Therapist,ordered,dominant,male,female,The car mechanic ordered the speech therapist.,first,Der Automechaniker befahl dem Logopäden.
Flight Attendant,Mechanical Engineer,nurtured,caring,female,male,The flight attendant nurtured the mechanical engineer.,first,Die Flugbegleiterin förderte den Maschinenbauingenieur.
Car Mechanic,Electrician,asked,neutral,male,male,The car mechanic asked the electrician.,first,Der Automechaniker befragte den Elektriker.
Welder,Speech Therapist,ordered,dominant,male,female,The welder ordered the speech therapist.,first,Der Schweißer befahl dem Logopäden.
Kindergarten Teacher,Mechanical Engineer,told,neutral,female,male,The kindergarten teacher told the mechanical engineer.,first,Die Kindergärtnerin erzählte es dem Maschinenbauingenieur.
Electrician,HR Specialist,cared for,caring,male,female,The electrician cared for the hr specialist.,first,Der Elektriker kümmerte sich um den Personalreferenten.
Construction Worker,Truck Driver,commanded,dominant,male,male,The construction worker commanded the truck driver.,first,Der Bauarbeiter befahl dem Lkw-Fahrer.
Librarian,Speech Therapist,instructed,dominant,female,female,The librarian instructed the speech therapist.,first,Der Bibliothekar wies den Logopäden an.
Flight Attendant,Police Officer,cared for,caring,female,male,The flight attendant cared for the police officer.,first,Die Flugbegleiterin kümmerte sich um den Polizisten.
Electrician,Librarian,controlled,dominant,male,female,The electrician controlled the librarian.,first,Der Elektriker kontrollierte den Bibliothekar.
Librarian,Mechanical Engineer,told,neutral,female,male,The librarian told the mechanical engineer.,first,Der Bibliothekar erzählte es dem Maschinenbauingenieur.
Kindergarten Teacher,HR Specialist,explained to,neutral,female,female,The kindergarten teacher explained to the hr specialist.,first,Die Kindergärtnerin erklärte es dem Personalreferenten.
Administrative Assistant,Car Mechanic,comforted,caring,female,male,The administrative assistant comforted the car mechanic.,first,Die Verwaltungsangestellte tröstete den Automechaniker.
Car Mechanic,Flight Attendant,comforted,caring,male,female,The car mechanic comforted the flight attendant.,first,Der Automechaniker tröstete die Flugbegleiterin.
Truck Driver,Nurse,dominated,dominant,male,female,The truck driver dominated the nurse.,first,Der Lkw-Fahrer dominierte die Krankenschwester.
Civil Engineer,Speech Therapist,told,neutral,male,female,The civil engineer told the speech therapist.,first,Der Bauingenieur erzählte es dem Logopäden.
Truck Driver,Truck Driver,cared for,caring,male,male,The truck driver cared for the truck driver.,first,Der Lkw-Fahrer kümmerte sich um den Lkw-Fahrer.
Flight Attendant,Civil Engineer,comforted,caring,female,male,The flight attendant comforted the civil engineer.,first,Die Flugbegleiterin tröstete den Bauingenieur.
Social Worker,Nurse,cared for,caring,female,female,The social worker cared for the nurse.,first,Der Sozialarbeiter kümmerte sich um die Krankenschwester.
Social Worker,Truck Driver,commanded,dominant,female,male,The social worker commanded the truck driver.,first,Der Sozialarbeiter befahl dem Lkw-Fahrer.
Flight Attendant,Nurse,explained to,neutral,female,female,The flight attendant explained to the nurse.,first,Die Flugbegleiterin erklärte es der Krankenschwester.
Kindergarten Teacher,Mechanical Engineer,described to,neutral,female,male,The kindergarten teacher described to the mechanical engineer.,first,Die Kindergärtnerin beschrieb es dem Maschinenbauingenieur.
Electrician,Software Developer,ordered,dominant,male,male,The electrician ordered the software developer.,first,Der Elektriker befahl dem Softwareentwickler.
Welder,Nurse,controlled,dominant,male,female,The welder controlled the nurse.,first,Der Schweißer kontrollierte die Krankenschwester.
Mechanical Engineer,Civil Engineer,controlled,dominant,male,male,The mechanical engineer controlled the civil engineer.,first,Der Maschinenbauingenieur kontrollierte den Bauingenieur.
Administrative Assistant,Police Officer,cared for,caring,female,male,The administrative assistant cared for the police officer.,first,Die Verwaltungsangestellte kümmerte sich um den Polizisten.
HR Specialist,Welder,asked,neutral,female,male,The hr specialist asked the welder.,first,Der Personalreferent befragte den Schweißer.
Civil Engineer,Speech Therapist,instructed,dominant,male,female,The civil engineer instructed the speech therapist.,first,Der Bauingenieur wies den Logopäden an.
Nurse,Electrician,described to,neutral,female,male,The nurse described to the electrician.,first,Die Krankenschwester beschrieb es dem Elektriker.
Administrative Assistant,Truck Driver,explained to,neutral,female,male,The administrative assistant explained to the truck driver.,first,Die Verwaltungsangestellte erklärte es dem Lkw-Fahrer.
Kindergarten Teacher,HR Specialist,ordered,dominant,female,female,The kindergarten teacher ordered the hr specialist.,first,Die Kindergärtnerin befahl dem Personalreferenten.
Primary School Teacher,Social Worker,cared for,caring,female,female,The primary school teacher cared for the social worker.,first,Die Grundschullehrerin kümmerte sich um den Sozialarbeiter.
HR Specialist,Dental Hygienist,informed,neutral,female,female,The hr specialist informed the dental hygienist.,first,Der Personalreferent informierte die Zahnhygienikerin.
Civil Engineer,Police Officer,asked,neutral,male,male,The civil engineer asked the police officer.,first,Der Bauingenieur befragte den Polizisten.
Nurse,Social Worker,commanded,dominant,female,female,The nurse commanded the social worker.,first,Die Krankenschwester befahl dem Sozialarbeiter.
HR Specialist,Librarian,comforted,caring,female,female,The hr specialist comforted the librarian.,first,Der Personalreferent tröstete den Bibliothekar.
Flight Attendant,Welder,informed,neutral,female,male,The flight attendant informed the welder.,first,Die Flugbegleiterin informierte den Schweißer.
Speech Therapist,Dental Hygienist,commanded,dominant,female,female,The speech therapist commanded the dental hygienist.,first,Der Logopäde befahl der Zahnhygienikerin.
Software Developer,Flight Attendant,supported,caring,male,female,The software developer supported the flight attendant.,first,Der Softwareentwickler unterstützte die Flugbegleiterin.
Police Officer,Plumber,supported,caring,male,male,The police officer supported the plumber.,first,Der Polizist unterstützte den Klempner.
Software Developer,Speech Therapist,told,neutral,male,female,The software developer told the speech therapist.,first,Der Softwareentwickler erzählte es dem Logopäden.
Civil Engineer,Truck Driver,asked,neutral,male,male,The civil engineer asked the truck driver.,first,Der Bauingenieur befragte den Lkw-Fahrer.
Police Officer,team,controlled,dominant,male,team,The police officer controlled the team.,first,Der Polizist kontrollierte das Team.
Nurse,Car Mechanic,cared for,caring,female,male,The nurse cared for the car mechanic.,first,Die Krankenschwester kümmerte sich um den Automechaniker.
Police Officer,Police Officer,asked,neutral,male,male,The police officer asked the police officer.,first,Der Polizist befragte den Polizisten.
Nurse,Librarian,dominated,dominant,female,female,The nurse dominated the librarian.,first,Die Krankenschwester dominierte den Bibliothekar.
Police Officer,Software Developer,cared for,caring,male,male,The police officer cared for the software developer.,first,Der Polizist kümmerte sich um den Softwareentwickler.
Dental Hygienist,Flight Attendant,described to,neutral,female,female,The dental hygienist described to the flight attendant.,first,Die Zahnhygienikerin beschrieb es der Flugbegleiterin.
Mechanical Engineer,Flight Attendant,commanded,dominant,male,female,The mechanical engineer commanded the flight attendant.,first,Der Maschinenbauingenieur befahl der Flugbegleiterin.
Dental Hygienist,Civil Engineer,described to,neutral,female,male,The dental hygienist described to the civil engineer.,first,Die Zahnhygienikerin beschrieb es dem Bauingenieur.
Software Developer,Flight Attendant,comforted,caring,male,female,The software developer comforted the flight attendant.,first,Der Softwareentwickler tröstete die Flugbegleiterin.
Administrative Assistant,Nurse,cared for,caring,female,female,The administrative assistant cared for the nurse.,first,Die Verwaltungsangestellte kümmerte sich um die Krankenschwester.
Truck Driver,Speech Therapist,instructed,dominant,male,female,The truck driver instructed the speech therapist.,first,Der Lkw-Fahrer wies den Logopäden an.
Electrician,Kindergarten Teacher,dominated,dominant,male,female,The electrician dominated the kindergarten teacher.,first,Der Elektriker dominierte die Kindergärtnerin.
Speech Therapist,Police Officer,cried in front of,caring,female,male,The speech therapist cried in front of the police officer.,first,Der Logopäde weinte vor dem Polizisten.
Electrician,Welder,explained to,neutral,male,male,The electrician explained to the welder.,first,Der Elektriker erklärte es dem Schweißer.
Civil Engineer,Primary School Teacher,dominated,dominant,male,female,The civil engineer dominated the primary school teacher.,first,Der Bauingenieur dominierte die Grundschullehrerin.
Mechanical Engineer,Primary School Teacher,controlled,dominant,male,female,The mechanical engineer controlled the primary school teacher.,first,Der Maschinenbauingenieur kontrollierte die Grundschullehrerin.
Police Officer,Dental Hygienist,explained to,neutral,male,female,The police officer explained to the dental hygienist.,first,Der Polizist erklärte es der Zahnhygienikerin.
Librarian,Car Mechanic,controlled,dominant,female,male,The librarian controlled the car mechanic.,first,Der Bibliothekar kontrollierte den Automechaniker.
Librarian,Police Officer,nurtured,caring,female,male,The librarian nurtured the police officer.,first,Der Bibliothekar förderte den Polizisten.
HR Specialist,Librarian,commanded,dominant,female,female,The hr specialist commanded the librarian.,first,Der Personalreferent befahl dem Bibliothekar.
Administrative Assistant,Dental Hygienist,dominated,dominant,female,female,The administrative assistant dominated the dental hygienist.,first,Die Verwaltungsangestellte dominierte die Zahnhygienikerin.
Primary School Teacher,Software Developer,controlled,dominant,female,male,The primary school teacher controlled the software developer.,first,Die Grundschullehrerin kontrollierte den Softwareentwickler.
Librarian,Welder,nurtured,caring,female,male,The librarian nurtured the welder.,first,Der Bibliothekar förderte den Schweißer.
Speech Therapist,Kindergarten Teacher,controlled,dominant,female,female,The speech therapist controlled the kindergarten teacher.,first,Der Logopäde kontrollierte die Kindergärtnerin.
